HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME,THREAD_COUNT,SAMPLING_RATE
MaxDiffFrequencyHistogram,int,14,1.43277e+08,15,0.624104,1,100
MaxDiffFrequencyHistogram,int,15,1.43997e+08,100,1.74533,1,100
MaxDiffFrequencyHistogram,int,16,1.43277e+08,100,0.627246,1,100
MaxDiffFrequencyHistogram,int,17,1.47533e+08,100,2.79167,1,100
MaxDiffFrequencyHistogram,int,18,1.43277e+08,100,0.653276,1,100
MaxDiffFrequencyHistogram,float,19,1.43276e+08,100,2.06577,1,100
MaxDiffFrequencyHistogram,float,20,1.43276e+08,100,2.67475,1,100
MaxDiffFrequencyHistogram,float,21,1.43276e+08,100,2.35489,1,100
MaxDiffFrequencyHistogram,float,22,1.42805e+08,100,4.44231,1,100
MaxDiffFrequencyHistogram,float,23,1.42794e+08,100,4.44614,1,100
MaxDiffFrequencyHistogram,float,24,1.43276e+08,100,4.02963,1,100
MaxDiffFrequencyHistogram,float,25,1.43131e+08,100,5.20524,1,100
MaxDiffFrequencyHistogram,float,26,1.43166e+08,100,2.6749,1,100
MaxDiffFrequencyHistogram,float,27,4.45805e+07,100,2.22638,1,100
MaxDiffFrequencyHistogram,float,28,1.43085e+08,100,3.96503,1,100
MaxDiffFrequencyHistogram,float,29,1.42421e+08,100,4.85589,1,100
MaxDiffFrequencyHistogram,float,30,1.41617e+08,100,5.49135,1,100
MaxDiffFrequencyHistogram,float,31,1.42781e+08,100,5.57345,1,100
MaxDiffFrequencyHistogram,float,32,1.41767e+08,100,7.1187,1,100
MaxDiffFrequencyHistogram,float,33,1.43352e+08,100,5.27449,1,100
MaxDiffFrequencyHistogram,int,0,20400,10,0.00733951,1,100
MaxDiffFrequencyHistogram,string,1,20400,10,0.0402278,1,100
MaxDiffFrequencyHistogram,int,2,20204,10,0.000716486,1,100
MaxDiffFrequencyHistogram,int,3,20194,10,0.000862267,1,100
MaxDiffFrequencyHistogram,string,4,20195,1,0.00318708,1,100
MaxDiffFrequencyHistogram,int,5,20203,10,0.000450664,1,100
MaxDiffFrequencyHistogram,int,6,20192,10,0.000844675,1,100
MaxDiffFrequencyHistogram,string,7,20210,10,0.0441861,1,100
MaxDiffFrequencyHistogram,string,8,20203,3,0.00392542,1,100
MaxDiffFrequencyHistogram,int,0,7200,5,0.00550262,1,100
MaxDiffFrequencyHistogram,int,1,7200,5,0.000485744,1,100
MaxDiffFrequencyHistogram,string,2,7200,5,0.00142604,1,100
MaxDiffFrequencyHistogram,int,3,7200,5,0.000338017,1,100
MaxDiffFrequencyHistogram,int,4,7200,5,0.00042741,1,100
MaxDiffFrequencyHistogram,int,0,2.77876e+07,100,0.151706,1,100
MaxDiffFrequencyHistogram,int,1,2.77856e+07,100,0.204048,1,100
MaxDiffFrequencyHistogram,int,2,2.8795e+07,100,0.405781,1,100
MaxDiffFrequencyHistogram,int,3,2.77861e+07,100,0.702986,1,100
MaxDiffFrequencyHistogram,int,4,2.77875e+07,100,0.775189,1,100
MaxDiffFrequencyHistogram,int,5,2.77866e+07,100,0.159555,1,100
MaxDiffFrequencyHistogram,int,6,2.77871e+07,100,0.582381,1,100
MaxDiffFrequencyHistogram,int,7,2.77879e+07,100,0.151944,1,100
MaxDiffFrequencyHistogram,int,8,2.77868e+07,55,0.148879,1,100
MaxDiffFrequencyHistogram,int,9,2.73393e+07,100,3.19819,1,100
MaxDiffFrequencyHistogram,int,10,2.77871e+07,100,0.160318,1,100
MaxDiffFrequencyHistogram,float,11,2.77523e+07,100,0.945799,1,100
MaxDiffFrequencyHistogram,float,12,2.77797e+07,100,0.491768,1,100
MaxDiffFrequencyHistogram,float,13,2.76947e+07,100,0.988183,1,100
MaxDiffFrequencyHistogram,float,14,2.77868e+07,100,0.423771,1,100
MaxDiffFrequencyHistogram,float,15,2.77711e+07,100,0.724226,1,100
MaxDiffFrequencyHistogram,float,16,2.77109e+07,100,0.87088,1,100
MaxDiffFrequencyHistogram,float,17,2.77232e+07,100,0.720735,1,100
MaxDiffFrequencyHistogram,float,18,2.77258e+07,100,0.708929,1,100
MaxDiffFrequencyHistogram,float,19,2.77392e+07,100,0.894449,1,100
MaxDiffFrequencyHistogram,int,0,1.44044e+07,100,0.0762176,1,100
