HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME,THREAD_COUNT,SAMPLING_RATE
MaxDiffFrequencyHistogram,float,24,1.01674e+08,100,4.3224,71,100
MaxDiffFrequencyHistogram,float,25,1.01616e+08,100,5.13518,71,100
MaxDiffFrequencyHistogram,float,26,1.01627e+08,100,3.40179,71,100
MaxDiffFrequencyHistogram,float,27,3.64224e+07,100,2.42182,71,100
MaxDiffFrequencyHistogram,float,28,1.01589e+08,100,4.38641,71,100
MaxDiffFrequencyHistogram,float,29,1.01158e+08,100,4.97325,71,100
MaxDiffFrequencyHistogram,float,30,1.00935e+08,100,5.6455,71,100
MaxDiffFrequencyHistogram,float,31,1.01448e+08,100,5.70734,71,100
MaxDiffFrequencyHistogram,float,32,1.01152e+08,100,6.8408,71,100
MaxDiffFrequencyHistogram,float,33,1.01836e+08,100,5.41763,71,100
MaxDiffFrequencyHistogram,int,0,20400,10,0.0037795,71,100
MaxDiffFrequencyHistogram,string,1,20400,10,0.033712,71,100
MaxDiffFrequencyHistogram,int,2,20204,10,0.000209569,71,100
MaxDiffFrequencyHistogram,int,3,20194,10,0.000177426,71,100
MaxDiffFrequencyHistogram,string,4,20195,1,0.00356166,71,100
MaxDiffFrequencyHistogram,int,5,20203,10,0.000195982,71,100
MaxDiffFrequencyHistogram,int,6,20192,10,0.000181782,71,100
MaxDiffFrequencyHistogram,string,7,20210,10,0.0295263,71,100
MaxDiffFrequencyHistogram,string,8,20203,3,0.00364066,71,100
MaxDiffFrequencyHistogram,int,0,7200,5,0.00127719,71,100
MaxDiffFrequencyHistogram,int,1,7200,5,8.2836e-05,71,100
MaxDiffFrequencyHistogram,string,2,7200,5,0.00124967,71,100
MaxDiffFrequencyHistogram,int,3,7200,5,7.9716e-05,71,100
MaxDiffFrequencyHistogram,int,4,7200,5,7.0127e-05,71,100
MaxDiffFrequencyHistogram,int,0,1.96921e+07,100,0.172713,71,100
MaxDiffFrequencyHistogram,int,1,1.96909e+07,100,0.197311,71,100
MaxDiffFrequencyHistogram,int,2,2.04066e+07,100,0.383009,71,100
MaxDiffFrequencyHistogram,int,3,1.96918e+07,100,1.01256,71,100
MaxDiffFrequencyHistogram,int,4,1.96934e+07,100,1.00919,71,100
MaxDiffFrequencyHistogram,int,5,1.96908e+07,100,0.186987,71,100
MaxDiffFrequencyHistogram,int,6,1.96912e+07,100,0.692219,71,100
MaxDiffFrequencyHistogram,int,7,1.96927e+07,100,0.170764,71,100
MaxDiffFrequencyHistogram,int,8,1.96919e+07,55,0.170611,71,100
MaxDiffFrequencyHistogram,int,9,1.99665e+07,100,5.26093,71,100
MaxDiffFrequencyHistogram,int,10,1.96924e+07,100,0.170401,71,100
MaxDiffFrequencyHistogram,float,11,1.96553e+07,100,1.11034,71,100
MaxDiffFrequencyHistogram,float,12,1.96847e+07,100,0.655054,71,100
MaxDiffFrequencyHistogram,float,13,1.95982e+07,100,1.13279,71,100
MaxDiffFrequencyHistogram,float,14,1.96916e+07,100,0.619066,71,100
MaxDiffFrequencyHistogram,float,15,1.96754e+07,100,0.858839,71,100
MaxDiffFrequencyHistogram,float,16,1.9616e+07,100,0.997982,71,100
MaxDiffFrequencyHistogram,float,17,1.96299e+07,100,0.869142,71,100
MaxDiffFrequencyHistogram,float,18,1.96325e+07,100,0.847297,71,100
MaxDiffFrequencyHistogram,float,19,1.96432e+07,100,0.971086,71,100
MaxDiffFrequencyHistogram,int,0,1.02101e+07,100,0.0878332,71,100
MaxDiffFrequencyHistogram,int,1,1.02101e+07,100,0.162714,71,100
MaxDiffFrequencyHistogram,int,2,1.02101e+07,100,0.210932,71,100
