HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME,THREAD_COUNT
MaxDiffAreaHistogram,string,14,986,1,0.000222698,1
MaxDiffAreaHistogram,int,4,986,5,0.000596174,1
MaxDiffAreaHistogram,string,15,984,1,0.000218038,1
MaxDiffAreaHistogram,float,5,986,1,0.000169856,1
MaxDiffAreaHistogram,string,16,990,5,0.00187976,1
MaxDiffAreaHistogram,int,6,981,1,0.000303672,1
MaxDiffAreaHistogram,string,17,987,1,0.000240473,1
MaxDiffAreaHistogram,string,7,982,5,0.000314225,1
MaxDiffAreaHistogram,string,18,981,1,0.000206888,1
MaxDiffAreaHistogram,string,8,987,2,0.000223155,1
MaxDiffAreaHistogram,float,28,7.38192e+06,100,1.40981,1
MaxDiffAreaHistogram,string,8,969876,51,0.0991128,1
MaxDiffAreaHistogram,int,18,7.3819e+06,100,0.0964743,1
MaxDiffAreaHistogram,string,9,969630,100,0.176665,1
MaxDiffAreaHistogram,float,29,7.38186e+06,100,1.80256,1
MaxDiffAreaHistogram,float,25,7.38188e+06,100,1.94412,1
MaxDiffAreaHistogram,string,10,969903,1,0.162544,1
MaxDiffAreaHistogram,int,8,7.38188e+06,100,0.398853,1
MaxDiffAreaHistogram,float,11,969869,6,0.0271078,1
MaxDiffAreaHistogram,int,15,7.3819e+06,15,0.1114,1
MaxDiffAreaHistogram,string,8,1.23488e+06,100,0.223222,1
MaxDiffAreaHistogram,float,14,2.21276e+07,100,1.8602,1
MaxDiffAreaHistogram,float,31,7.38373e+06,100,1.98198,1
MaxDiffAreaHistogram,float,33,7.38373e+06,100,1.94141,1
MaxDiffAreaHistogram,int,3,2.76987e+07,100,1.396,1
MaxDiffAreaHistogram,int,0,1e+06,100,0.345744,1
MaxDiffAreaHistogram,float,30,7.38186e+06,100,2.13054,1
MaxDiffAreaHistogram,int,17,1.65655e+06,100,0.0243059,1
MaxDiffAreaHistogram,string,9,1.23448e+06,100,0.250568,1
MaxDiffAreaHistogram,int,5,7.38182e+06,100,0.382516,1
MaxDiffAreaHistogram,string,12,969828,3,0.137137,1
MaxDiffAreaHistogram,int,0,20400,10,0.0050024,1
MaxDiffAreaHistogram,string,1,20400,10,0.0547049,1
MaxDiffAreaHistogram,int,2,20204,10,0.00156962,1
MaxDiffAreaHistogram,int,3,20194,10,0.000844207,1
