benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output,sampling_rate
TPC-H,MaxDiffAreaHistogram,TPC-H 19,0,TableScan,2000000,80013,2000000.000000,80013.000000,100
TPC-H,MaxDiffAreaHistogram,TPC-H 19,1,JoinHashLeft,59986052,145690,59986052.000000,23896.759766,100
TPC-H,MaxDiffAreaHistogram,TPC-H 19,2,TableScan,2000000,79781,2000000.000000,79781.000000,100
TPC-H,MaxDiffAreaHistogram,TPC-H 19,3,TableScan,2000000,80170,2000000.000000,80170.000000,100
TPC-H,MaxDiffAreaHistogram,TPC-H 20,0,JoinHashLeft,100000,44737,100000.000000,0.010056,100
TPC-H,MaxDiffAreaHistogram,TPC-H 20,1,JoinHashLeft,25,25,25.000000,0.010056,100
TPC-H,MaxDiffAreaHistogram,TPC-H 20,2,JoinHashLeft,8000000,86932,8000000.000000,0.070461,100
TPC-H,MaxDiffAreaHistogram,TPC-H 20,3,TableScan,2000000,21733,2000000.000000,0.017615,100
TPC-H,MaxDiffAreaHistogram,TPC-H 20,4,JoinHashLeft,59986052,651210,59986052.000000,0.528334,100
TPC-H,MaxDiffAreaHistogram,TPC-H 21,0,JoinHashLeft,59986052,7036877,59986052.000000,9595555.000000,100
TPC-H,MaxDiffAreaHistogram,TPC-H 21,1,TableScan,15000000,7309184,15000000.000000,7309184.000000,100
TPC-H,MaxDiffAreaHistogram,TPC-H 21,2,JoinHashLeft,100000,3934,100000.000000,3999.999512,100
TPC-H,MaxDiffAreaHistogram,TPC-H 21,3,JoinHashLeft,59986052,2357566,59986052.000000,2399442.500000,100
TPC-H,MaxDiffAreaHistogram,TPC-H 21,4,TableScan,25,1,25.000000,1.000000,100
TPC-H,MaxDiffAreaHistogram,TPC-H 22,0,JoinHashRight,15000000,63526,15000000.000000,1500000.000000,100
TPC-H,MaxDiffAreaHistogram,TPC-H 22,1,TableScan,1500000,681299,1500000.000000,1500000.000000,100
TPC-DS,MaxDiffAreaHistogram,01,0,JoinHashLeft,500000,147716,500000.000000,3661.363770,100
TPC-DS,MaxDiffAreaHistogram,01,1,JoinHashLeft,2875432,557993,2875432.000000,12531.103516,100
TPC-DS,MaxDiffAreaHistogram,01,2,TableScan,102,32,102.000000,32.000000,100
TPC-DS,MaxDiffAreaHistogram,01,3,TableScan,65535,366,65535.000000,329.850647,100
TPC-DS,MaxDiffAreaHistogram,03,0,TableScan,73049,6000,73049.000000,6000.000000,100
TPC-DS,MaxDiffAreaHistogram,03,1,TableScan,102000,180,102000.000000,180.833328,100
TPC-DS,MaxDiffAreaHistogram,03,2,JoinHashLeft,28800991,51799,28800992.000000,51060.574219,100
TPC-DS,MaxDiffAreaHistogram,06,0,JoinHashLeft,102000,10174,102000.000000,102000.000000,100
TPC-DS,MaxDiffAreaHistogram,06,1,JoinHashLeft,500000,500000,500000.000000,499999.843750,100
TPC-DS,MaxDiffAreaHistogram,06,2,JoinHashRight,250000,500000,250000.000000,499999.843750,100
TPC-DS,MaxDiffAreaHistogram,06,3,JoinHashLeft,28800991,288747,28800992.000000,321289.750000,100
TPC-DS,MaxDiffAreaHistogram,06,4,Aggregate,102000,11,102000.000000,102000.000000,100
TPC-DS,MaxDiffAreaHistogram,06,5,JoinHashLeft,73049,31,73049.000000,851.763062,100
TPC-DS,MaxDiffAreaHistogram,06,6,TableScan,65535,365,65535.000000,329.850647,100
TPC-DS,MaxDiffAreaHistogram,07,0,JoinHashLeft,102000,75601,102000.000000,25883.505859,100
TPC-DS,MaxDiffAreaHistogram,07,1,JoinHashLeft,28800991,5519143,28800992.000000,124417.882812,100
TPC-DS,MaxDiffAreaHistogram,07,2,TableScan,500,494,500.000000,494.000000,100
TPC-DS,MaxDiffAreaHistogram,07,3,TableScan,500,493,500.000000,493.000000,100
TPC-DS,MaxDiffAreaHistogram,07,4,TableScan,65535,366,65535.000000,329.850647,100
TPC-DS,MaxDiffAreaHistogram,07,5,TableScan,1920800,274400,1920800.000000,274400.000000,100
TPC-DS,MaxDiffAreaHistogram,09,0,TableScan,45,1,45.000000,1.000000,100
TPC-DS,MaxDiffAreaHistogram,10,0,JoinHashLeft,28800991,1092669,28800992.000000,40961.214844,100
TPC-DS,MaxDiffAreaHistogram,10,1,JoinHashLeft,1920800,4499,1920800.000000,2670.758057,100
TPC-DS,MaxDiffAreaHistogram,10,2,JoinHashLeft,500000,4651,500000.000000,2766.496338,100
TPC-DS,MaxDiffAreaHistogram,10,3,JoinHashLeft,7197566,280942,7197566.000000,10716.091797,100
TPC-DS,MaxDiffAreaHistogram,10,4,JoinHashLeft,14401261,540591,14401261.000000,21339.671875,100
TPC-DS,MaxDiffAreaHistogram,10,5,TableScan,65535,365,65535.000000,329.850647,100
TPC-DS,MaxDiffAreaHistogram,10,6,TableScan,250000,2319,250000.000000,1198.151733,100
TPC-DS,MaxDiffAreaHistogram,13,0,JoinHashLeft,7200,779,7200.000000,0.000000,100
TPC-DS,MaxDiffAreaHistogram,13,1,JoinHashRight,7200,65291,7200.000000,0.037528,100
TPC-DS,MaxDiffAreaHistogram,13,2,JoinHashLeft,1920800,48313,1920800.000000,0.037528,100
