benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output,sampling_rate
JoinOrder,MaxDiffAreaHistogram,14a,15,TableScan,14835720,0,14835720.000000,2.763743,50
JoinOrder,MaxDiffAreaHistogram,14a,16,TableScan,14835720,0,14835720.000000,2.345026,50
JoinOrder,MaxDiffAreaHistogram,14b,0,JoinHashLeft,7,2,7.000000,0.000013,50
JoinOrder,MaxDiffAreaHistogram,14b,1,JoinHashLeft,2528312,5257,2528312.000000,0.000848,50
JoinOrder,MaxDiffAreaHistogram,14b,2,JoinHashLeft,4523930,1339896,4523930.000000,0.008165,50
JoinOrder,MaxDiffAreaHistogram,14b,3,JoinHashLeft,134170,86955,134170.000000,0.007374,50
JoinOrder,MaxDiffAreaHistogram,14b,4,JoinHashLeft,113,5,113.000000,0.000853,50
JoinOrder,MaxDiffAreaHistogram,14b,5,JoinHashLeft,1380035,640551,1380035.000000,0.003151,50
JoinOrder,MaxDiffAreaHistogram,14b,6,TableScan,14835720,9863,14835720.000000,2.273782,50
JoinOrder,MaxDiffAreaHistogram,14b,7,TableScan,113,1,113.000000,1.000000,50
JoinOrder,MaxDiffAreaHistogram,14b,8,TableScan,14835720,552777,14835720.000000,16.703203,50
JoinOrder,MaxDiffAreaHistogram,14b,9,TableScan,14835720,4049,14835720.000000,3.111731,50
JoinOrder,MaxDiffAreaHistogram,14b,10,TableScan,14835720,65767,14835720.000000,5.169409,50
JoinOrder,MaxDiffAreaHistogram,14b,11,TableScan,14835720,50792,14835720.000000,215.798172,50
JoinOrder,MaxDiffAreaHistogram,14b,12,TableScan,14835720,12445,14835720.000000,2.345026,50
JoinOrder,MaxDiffAreaHistogram,14b,13,TableScan,14835720,7817,14835720.000000,3.275524,50
JoinOrder,MaxDiffAreaHistogram,14b,14,TableScan,14835720,3164,14835720.000000,3.111731,50
JoinOrder,MaxDiffAreaHistogram,14b,15,TableScan,14835720,0,14835720.000000,2.763743,50
JoinOrder,MaxDiffAreaHistogram,14b,16,TableScan,14835720,0,14835720.000000,2.345026,50
JoinOrder,MaxDiffAreaHistogram,14c,0,JoinHashLeft,134170,59425,134170.000000,0.010057,50
JoinOrder,MaxDiffAreaHistogram,14c,1,JoinHashLeft,7,6,7.000000,0.000418,50
JoinOrder,MaxDiffAreaHistogram,14c,2,JoinHashLeft,2528312,130720,2528312.000000,0.001044,50
JoinOrder,MaxDiffAreaHistogram,14c,3,JoinHashLeft,4523930,2199635,4523930.000000,0.010057,50
JoinOrder,MaxDiffAreaHistogram,14c,4,JoinHashLeft,1380035,640551,1380035.000000,0.003151,50
JoinOrder,MaxDiffAreaHistogram,14c,5,TableScan,14835720,9863,14835720.000000,2.273782,50
JoinOrder,MaxDiffAreaHistogram,14c,6,TableScan,113,1,113.000000,1.000000,50
