HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME,THREAD_COUNT
MaxDiffAreaHistogram,int,10,2.97074e+06,100,0.0535542,1
MaxDiffAreaHistogram,int,4,2.97111e+06,100,0.393032,1
MaxDiffAreaHistogram,int,5,2.9712e+06,100,0.0456555,1
MaxDiffAreaHistogram,int,16,1.30868e+06,100,0.711445,1
MaxDiffAreaHistogram,int,0,2.97164e+06,100,0.0356739,1
MaxDiffAreaHistogram,int,0,686665,100,0.0441082,1
MaxDiffAreaHistogram,int,4,500000,100,0.315965,1
MaxDiffAreaHistogram,int,7,686705,100,0.11963,1
MaxDiffAreaHistogram,int,8,1.67926e+06,100,0.442243,1
MaxDiffAreaHistogram,string,9,482483,100,0.461456,1
MaxDiffAreaHistogram,string,8,482530,100,0.464611,1
MaxDiffAreaHistogram,int,2,719217,100,0.198322,1
MaxDiffAreaHistogram,int,0,500000,100,0.350952,1
MaxDiffAreaHistogram,int,1,686869,100,0.123656,1
MaxDiffAreaHistogram,int,13,719217,100,0.141291,1
MaxDiffAreaHistogram,int,8,686758,100,0.499169,1
MaxDiffAreaHistogram,float,33,1.68747e+06,100,1.2881,1
MaxDiffAreaHistogram,int,3,2.97098e+06,100,0.492656,1
MaxDiffAreaHistogram,float,21,2.97209e+06,100,0.795592,1
MaxDiffAreaHistogram,int,6,1.28247e+06,100,0.0572084,1
MaxDiffAreaHistogram,string,1,45,5,0.000995012,1
MaxDiffAreaHistogram,int,0,45,5,0.00117319,1
MaxDiffAreaHistogram,string,2,45,5,0.000826087,1
MaxDiffAreaHistogram,int,7,1.67896e+06,100,0.172188,1
MaxDiffAreaHistogram,int,20,101764,51,0.00547496,1
MaxDiffAreaHistogram,float,31,1.68747e+06,100,1.3092,1
MaxDiffAreaHistogram,int,13,101753,51,0.00788854,1
MaxDiffAreaHistogram,string,19,101760,1,0.0105794,1
MaxDiffAreaHistogram,float,25,1.67925e+06,100,1.32722,1
MaxDiffAreaHistogram,string,15,101750,7,0.0115795,1
MaxDiffAreaHistogram,string,12,101768,10,0.0117846,1
MaxDiffAreaHistogram,int,6,1.25728e+06,100,0.499478,1
MaxDiffAreaHistogram,int,9,101758,16,0.0018957,1
MaxDiffAreaHistogram,string,3,51000,3,0.00520507,1
MaxDiffAreaHistogram,string,17,101745,51,0.0138453,1
MaxDiffAreaHistogram,string,18,101749,21,0.0139982,1
MaxDiffAreaHistogram,string,10,101759,51,0.0103159,1
MaxDiffAreaHistogram,int,7,101751,51,0.00377944,1
MaxDiffAreaHistogram,string,14,101732,51,0.0192034,1
MaxDiffAreaHistogram,string,2,101757,4,0.00800943,1
MaxDiffAreaHistogram,float,5,101731,51,0.00866113,1
MaxDiffAreaHistogram,float,32,1.68747e+06,100,1.33032,1
MaxDiffAreaHistogram,string,2,73049,36,0.407362,1
MaxDiffAreaHistogram,int,4,686586,100,0.571481,1
MaxDiffAreaHistogram,int,2,3.11127e+06,100,0.130475,1
MaxDiffAreaHistogram,int,0,102000,51,0.025017,1
MaxDiffAreaHistogram,string,8,101765,51,0.036051,1
MaxDiffAreaHistogram,int,3,686679,100,0.0895471,1
MaxDiffAreaHistogram,float,11,2.97149e+06,100,0.0744309,1
MaxDiffAreaHistogram,float,21,1.67917e+06,100,0.077076,1
MaxDiffAreaHistogram,int,2,482697,100,0.468545,1
MaxDiffAreaHistogram,int,1,2.97212e+06,100,0.0323864,1
MaxDiffAreaHistogram,int,11,1.67894e+06,24,0.0196912,1
MaxDiffAreaHistogram,int,15,1.68747e+06,100,0.105191,1
MaxDiffAreaHistogram,int,5,1.67899e+06,100,0.0251432,1
MaxDiffAreaHistogram,string,1,73049,36,0.254749,1
MaxDiffAreaHistogram,int,1,1.6791e+06,100,0.0502682,1
MaxDiffAreaHistogram,int,9,1.30259e+06,100,0.677999,1
MaxDiffAreaHistogram,int,4,86400,43,0.00296074,1
MaxDiffAreaHistogram,int,5,86400,43,0.00290659,1
MaxDiffAreaHistogram,int,3,86400,24,0.00417671,1
MaxDiffAreaHistogram,string,9,36000,3,0.00512151,1
MaxDiffAreaHistogram,string,8,86400,4,0.00717151,1
MaxDiffAreaHistogram,string,6,86400,2,0.00769376,1
MaxDiffAreaHistogram,string,7,86400,3,0.00850295,1
MaxDiffAreaHistogram,string,16,101748,51,0.176516,1
MaxDiffAreaHistogram,float,6,101751,51,0.00456899,1
MaxDiffAreaHistogram,int,0,86400,43,0.0267431,1
MaxDiffAreaHistogram,int,2,86400,43,0.0340166,1
MaxDiffAreaHistogram,float,22,1.67905e+06,100,0.213263,1
MaxDiffAreaHistogram,float,23,1.6791e+06,100,0.266751,1
MaxDiffAreaHistogram,string,21,101751,51,0.260674,1
MaxDiffAreaHistogram,int,11,101757,10,0.00232409,1
MaxDiffAreaHistogram,int,13,1.67912e+06,20,0.0119454,1
MaxDiffAreaHistogram,string,1,86400,43,0.13705,1
MaxDiffAreaHistogram,int,12,1.67917e+06,100,0.0853212,1
MaxDiffAreaHistogram,int,3,1.6791e+06,100,0.0703908,1
MaxDiffAreaHistogram,string,4,101745,51,0.318282,1
MaxDiffAreaHistogram,int,2,1.67903e+06,100,0.0118972,1
MaxDiffAreaHistogram,int,8,1.26545e+06,6,0.00971962,1
MaxDiffAreaHistogram,int,6,1.26545e+06,7,0.0101287,1
MaxDiffAreaHistogram,int,7,1.26545e+06,7,0.0107054,1
MaxDiffAreaHistogram,int,4,1.26545e+06,20,0.0118055,1
MaxDiffAreaHistogram,string,1,250000,100,1.46504,1
MaxDiffAreaHistogram,float,26,1.29907e+06,100,0.0764636,1
MaxDiffAreaHistogram,string,8,11885,3,0.00769342,1
MaxDiffAreaHistogram,int,5,11889,6,0.00779034,1
MaxDiffAreaHistogram,int,3,11882,6,0.00847741,1
MaxDiffAreaHistogram,int,2,11893,6,0.00645458,1
MaxDiffAreaHistogram,int,6,11876,6,0.0089313,1
MaxDiffAreaHistogram,string,4,11872,1,0.00930014,1
MaxDiffAreaHistogram,string,1,1.26545e+06,2,0.0462082,1
MaxDiffAreaHistogram,int,0,12000,6,0.0113753,1
MaxDiffAreaHistogram,string,2,1.26545e+06,5,0.0527895,1
MaxDiffAreaHistogram,int,16,1.29907e+06,100,0.0163935,1
MaxDiffAreaHistogram,int,6,1.29909e+06,100,0.0132506,1
MaxDiffAreaHistogram,string,5,1.26545e+06,4,0.0700731,1
MaxDiffAreaHistogram,string,3,1.26545e+06,7,0.0772576,1
MaxDiffAreaHistogram,float,27,1.29914e+06,100,0.116175,1
MaxDiffAreaHistogram,string,1,12000,6,0.0427838,1
MaxDiffAreaHistogram,string,7,11884,6,0.046958,1
